skill,skill_name,invoke_name
B07DSVXB3Z,Alula,"Alexa, ask My Security System for status."
B07CL8NTNT,Add Item To Shopper - Shopping List,"Alexa, ask My Shopper to add Milk to list"
B01IC7ZS0O,My Tarot,"Alexa, ask My Tarot to draw a card"
B07381F86F,Chat with Chancellor,"Alexa, ask my totally legit older friend for the secrets of the force"
B0725X2Y3P,Somfy myLink,"Alexa, ask myLink to lower Bedroom Shades."
B077W8KGGZ,What's in the Mystery Box?,"Alexa, ask Mystery Box, what's in the mystery box?"
B079WY54NQ,myTuner Radio,"Alexa, ask myTuner Radio to play Fox News Radio"
B01N6ERAWU,U.S. National Parks,"Alexa, ask National Parks for Yosemite."
B01C7SGG3M,NBC News,"Alexa, ask NBC News what's trending"
B01MXI58Y7,Neato,"Alexa, ask Neato to start cleaning."
B01NA9KO1P,Netatmo Weather,"Alexa, ask Netatmo is it noisy at Home?"
B01MY1A0MS,NETGEAR,"Alexa, ask NETGEAR to enable guest network"
B077D2GY1Z,NORAD Tracks Santa,"Alexa, ask NORAD Tracks Santa, where's Santa?"
B073JPP82D,Northwell Health,"Alexa, ask Northwell for the shortest wait time near 1 1 0 2 1"
B07488PPJR,How many days since Michigan has beaten Ohio State,"Alexa, ask ohio state buckeyes how long since michigan has beaten us"
B01I4K4SRI,Old MacDonald,"Alexa, ask Old MacDonald for a duck"
B0735SXCJJ,One America News Live,"Alexa, ask One America News to play"
B072QDCSQH,One Drop,"Alexa, ask One Drop what's my average glucose?"
B07LD5TBV7,Onelink Home,"Alexa, ask Onelink, what is the status of my smoke alarm"
B019YJAFPM,Ooma (Phone and Home Security),"Alexa, ask Ooma to play my voicemail"
B07KW1SQM9,OurJukebox,"Alexa, ask Our Jukebox to play rock music"
B01D4F1J0M,OurGroceries,"Alexa, ask OurGroceries to add milk to shopping list."
B072Q3Q6LT,Pebble Push,"Alexa, ask Pebble Push to remind me to do the assignment at 3pm tomorrow"
B01N1QNS5B,Find My Phone and Keys,"Alexa, ask Pebblebee to find my keys."
B08BYXJ16D,Pentair IntelliCenter,"Alexa, ask pentair chat what the pool temperature is"
B0844ZTFM5,"Phone Link - Texting, Calling, Phone Finder, Music","Alexa, ask Phone Link to find my phone."
B01NBB1INY,Plex,"Alexa, ask Plex to play some music"
B07P3GBW57,Pocket Casts,"Alexa, ask Pocket Casts to play my Up Next"
B07C6CTZPQ,PodcastOne,"Alexa, ask PodcastOne to play the Adam Carolla Show"
B077CCF3S9,Poop Poems,"Alexa, ask poop poems to play a poem."
B06XPPYVPN,Port Numbers,"Alexa, ask port numbers on which port runs SSH"
B0751HVKD7,President Trump,"Alexa, ask President Trump if he has been impeached yet”"
B01M6XHE2X,Professor Kay,"Alexa, ask Professor Kay about pandas"
B01KB5B5YI,Programming Facts,"Alexa, ask programming facts to tell me something"
B06XSCT6XT,Quick Remote,"Alexa, ask Quick Remote to pause"
B07M69FLD6,Quick Text,"Alexa, ask quick text to send a message"
B01AIZVCGW,Rachio,"Alexa, ask Rachio to start zone one for six minutes"
B079NMM8T8,Rain Bird,"Alexa, ask Rain Bird to water Zone 1 for 10 minutes"
B07DD1LS7Z,RAM,"Alexa, ask Ram to check the tire pressure of my truck"
B01MYDUYUM,Raptor Jesus,"Alexa, ask Raptor Jesus to give me a fact”"
B01II5XWGM,Recipe Helper,"Alexa, ask Recipe Helper what is the recipe for Thai Shrimp Soup"
B08P3B9ZCR,Recipe Keeper,"Alexa, ask Recipe Keeper for cookie recipes"
B06W57KWQC,Recipe Speak,"Alexa, ask Recipe Speak to get my recipe for roast chicken"
B01NCRMK39,Repo Tree,"Alexa, ask Repo Tree the top repos"
B07ZB3DZ7W,Roborock Plus,"Alexa, ask robo rock to start cleaning."
B072JP2LQF,Robot Talk,"Alexa, ask Robot Talk what is your name."
B06Y3PSHQ3,iRobot Home,"Alexa, ask Roomba to start vacuuming."
B01GM73LI2,Pet Bed Time,"Alexa, ask Sand Man to tell the cat to go to bed"
B075C64Z22,SAT Word of the Day,"Alexa, ask SAT Word of the Day what is the word of the day."
B01N0I8FPB,Scare Me,"Alexa, ask scare me to tell me a scary story"
B0779G2BNW,Science Facts,"Alexa, ask Science Facts for a science fact"
B01MF8WMGW,Service Local,"Alexa, ask Service Local for a plumber"
B0756M3V84,Shark,"Alexa, ask Shark to start cleaning."
B01JN7JKIS,Should I Ride,"Alexa, Ask Should I Ride"
B01H98E7EU,Silly Things,"Alexa, Ask SillyThings to tell me to do something silly"
B07CJ821ZR,SimpliSafe Home Control,"Alexa, ask SimpliSafe to arm my system in home mode"
B01N6DY5W2,SkylinkNet,"Alexa, ask SkylinkNet to arm away"
B07DTBW7YD,Relaxing Music: Sleep Music,"Alexa, ask Sleep Music to play"
B078JKLYFR,Small Talk Helper,"Alexa, ask Small Talk Helper for a Conversation Starter."
B0785KB5GV,Smart Doorbell,"Alexa, ask smart doorbell to turn on light"
B08MCCSH7R,HOMEWERKS Smart Fan,"Alexa, ask smart fan to run for five minutes."
B077HS65F6,SmartPlant,"Alexa, ask Smart Plant what I need to do with my garden?"
B01MRBCI6M,Smokepoint,"Alexa, ask Smokepoint what is the smoke point of canola oil?"
B07MBSKNSZ,Happiest Baby SNOO,"Alexa, ask SNOO for Status"
B076GSM7W9,Something Scary,"Alexa, ask something scary to say a scary quote"
B0754MNKGS,Spanish Word of the Day,"Alexa, ask Spanish Word of the Day what is the word of the day."
B01MRJKX2C,Star Date Converter,"Alexa, ask Star Date Converter to get today's star date"
B01DKP0BT6,Starfish Fit,"Alexa, ask starfish fit for calories used today"
B01DKTI612,StartupInfo,"Alexa, ask Startup Info about Slack"
B075H5VLWW,Stitcher,"Alexa, ask Stitcher to play Freakonomics Radio"
B077H2TRTK,Stock Screener,"Alexa, ask stock screener to tell me the price of Microsoft"
B078XDQG6Z,Story Time,"Alexa, ask story time to tell me a story"
B0722KNWX2,Sugarmate,"Alexa, ask Sugarmate for my latest reading"
B01N5JQ5YS,Sydney Guide,"Alexa, ask Sydney Guide"
B07JHLR5TW,T-Minus Countdown,"Alexa, ask T. Minus to countdown to 5 minutes."
B075PLL36H,Tabata Timer,"Alexa, ask Tabata Timer to start."
B01LVWKGRW,TED Talks,"Alexa, ask TED Talks to play the latest talk"
B079T8LMYY,Texas Roadhouse,"Alexa, ask Texas Roadhouse to put me on the waitlist"
B01EIZC71M,The Dishwasher,"Alexa, ask the dishwasher about the dishes"
B01M0WO624,Share The Facts,"Alexa, ask the fact-checkers if Donald Trump opposed the war in Iraq?"
B06Y3NTQ8T,The Old Farmer's Almanac,"Alexa, ask the Farmer's Almanac about today"
B01M26URT4,The Motley Fool,"Alexa, ask The Fool for Apple."
B019R2YB7Y,The Listeners,"Alexa, ask The Listeners."
B017OBZR50,The Name Game (banana-fana),"Alexa, ask The Name Game to use Jessica."
B076GD4Q7T,The Squirrel Whisperer,"Alexa, ask the Squirrel Whisperer to tell me something about squirrels"
B01C3BJBJE,TideGuide,"Alexa, ask tide guide for the tides in Santa Barbara, California"
B072ZTFC4N,Tie A Knot,"Alexa, ask tie a knot how do I tie a square knot?"
B06Y6HTCG5,Tigo,"Alexa, ask Tigo for a system summary"
B01M6W5U7B,Time Clock,"Alexa, ask Time Clock to add an hour for meetings"
B01DL5E2PE,Today In History,"Alexa, ask Today In History what happened on this date in history."
B074GYDNYQ,Toggl Timer,"Alexa, ask toggle timer to start timer on project A"
B07B9HN9R5,Toyota,"Alexa, ask Toyota to start my car."
B01LXGK3RP,Trakt,"Alexa, ask Trakt t.v. what is on TV today?"
B06XYYMW94,Tronald Dump Quotes,"Alexa, ask Tronald Dump Quotes for a quote"
B07538SX5V,Trump Greetings,"Alexa, ask Trump Greetings to say hello to Jane a member of the Democrat party"
B072QCTCH9,Trump Impeachment Clock,"Alexa, ask Trump Impeachment Clock whether Trump will be impeached"
B071FHXX8X,Trump Timer,"Alexa, ask Trump Timer how much time is left"
B01M0UDNJJ,Unofficial Trump Quotes,"Alexa, ask unofficial trump quotes to give me a dumb trump quote"
B07D5KBX5S,Vegan Chef,"Alexa, ask Vegan Chef to find recipes with cauliflower."
B01LWDOBQO,Vegan Facts,"Alexa, ask Vegan Facts for a fact"
B01N5RJBJN,verbal associates two,"Alexa, Ask verbal associates two to test memory"
B01KAXYZUW,Vietnam Facts,"Alexa, ask vietnam facts to tell me a vietnam fact."
B094YDFWDK,Viomi MiHome,"Alexa, ask viomi vacuum to start"
B01N2BJPYQ,Virgin Pulse,"Alexa, ask Virgin Pulse how I'm doing today."
B07YPYHQ1Q,The Weather Channel,"Alexa, ask weather channel what's the weather."
B07FKLHXJ2,WeatherLink,"Alexa, ask WeatherLink what are the current conditions"
B01MY2Y5QF,What Everyone Thinks,"Alexa, ask What Everyone Thinks about oranges."
B077YDCTMS,What's Up With Trump,"Alexa, ask What's Up Trump for recent tweets"
B01L0ALM50,YNAB,"Alexa, ask Why Nab for the balance of Groceries"
B06WVLYTLR,Wind Speed Status,"Alexa, ask wind speed for 10001."
B077367ZF8,Wine Pairing,"Alexa, ask wine pairing which wine goes best with lamb"
B07VMQZXZH,Winix Smart Custom Skill,"Alexa, ask WINIX to turn on my purifier"
B077WZFGYY,Woman's National Democratic Club,"Alexa, ask WNDC for the latest news"
B07QNWBCBS,Ask Woodworker Express,"Alexa, ask Woodworker Express what is a piano hinge?"
B017OBSCOS,Amazing Word Master Game,"Alexa, ask Word Master to play a game"
B077Z9S3TB,Yes Man,"Alexa, ask Yes Man am I right”"
B017RXFNKY,YouVersion Bible,"Alexa, ask YouVersion Bible to read John"
B01GB28COG,Zoo Keeper,"Alexa, ask Zoo Keeper, what does a zebra say?"
B07513ZXTQ,Star Trek - Transporter,"Alexa, beam me up"
B07BVM31K2,Five Decade Catholic Rosary,"Alexa, begin catholic rosary"
B07JK9YWQB,Book Recommendations (Goodreads 4.5 and above),"Alexa, book recommendations”"
B0B25TD5JB,LIVELY SERVICES,"Alexa, Call for help"
B071Z8WGWZ,DISH,"Alexa, change the channel to HGTV"
B08V5J8KFB,Smart Assistant,"Alexa, channel down on TV"
B088FFRFFX,SOMA Smart Home,"Alexa, close Bedroom"
B01NARHJWE,ADT,"Alexa, disarm ADT"
B08MVKRTDK,Brother Printer,"Alexa, discover devices.”"
B08HDJS1Q4,Air Wick,"Alexa, Discover devices”"
B072JTTR7R,Amcrest Cloud,"Alexa, discover my devices"
B08259XK1Z,Virtual Buttons,"Alexa, discover my devices”"
B08M496VGB,IFTTTrigger,"Alexa, discover my devices”"
B09CV7JL3L,Santa - holiday personality for Alexa,"Alexa, enable ‘Hey Santa’."
B06WVN7SHC,Dyson,"Alexa, enable Auto mode on Purifier"
B07Z9KCZSL,Amazon: Call Santa,"Alexa, enable call santa"
B08DBR3YTJ,News Notifications,"Alexa, enable notifications from NPR."
B07NPYFW6M,Hue,"Alexa, enciende relax en el dormitorio"
B08BZP1M1G,Cookmate - formerly My CookBook,"Alexa, Find a chocolate cake with My CookBook"
B073PKWX11,Tile,"Alexa, find my keys."
B076PHYQD2,Find My Phone,"Alexa, Find My Phone."
B074Y8WZ4J,Get Me Up,"Alexa, get me up"
B07P8KXD83,Good Morning,"Alexa, good morning”"
B076K5P8LD,Help Me Sleep: The 15 Minute Insomnia Cure,"Alexa, help me sleep"
B01MTEIMA6,I'm Bored,"Alexa, I'm bored"
B01FOC3LCM,Inspire Me,"Alexa, Inspire Me"
B08XVTH3ZP,Melissa McCarthy - celebrity personality for Alexa,"Alexa, introduce me to Melissa."
B089NGHR7K,Samuel L. Jackson–celebrity personality for Alexa,"Alexa, introduce me to Samuel L. Jackson"
B08XW88QZB,Shaquille O'Neal - celebrity personality for Alexa,"Alexa, introduce me to Shaq."
B08NMRGZV9,Automator,"Alexa, is the device open?”"
B073YGCYX1,Toshiba Smart Home Skill,"Alexa, is the front door locked?"
B06W9H1DVV,Is Trump President? (Unofficial),"Alexa, Is Trump President?"
B072DVXV8X,Just The Temperature,"Alexa, just the temperature"
B078BN33GP,Kitty Kitty,"Alexa, kitty kitty"
